ZIP_Code,Median_income,Population,TeslaCount,NonTeslaCount,Total_EVs,Tesla_Proportion_of_Evs,EV_per_1k_people
55808,59808,5943,4,17,21,0.19,3.53
55810,81894,8700,11,31,42,0.262,4.83
55811,77877,27761,46,130,176,0.261,6.34
55812,66961,10571,8,69,77,0.104,7.28
55816,,,0,3,3,0,NULL
55901,90430,58046,200,378,578,0.346,9.96
55902,111879,25878,262,458,720,0.364,27.82
55904,76434,29813,81,159,240,0.338,8.05
55905,-,0,0,3,3,0,NULL
55906,104146,19559,105,226,331,0.317,16.92
55909,93750,1325,1,2,3,0.333,2.26
55912,68205,29718,35,102,137,0.255,4.61
55917,76310,3609,3,8,11,0.273,3.05
55918,79125,955,1,3,4,0.25,4.19
55919,70962,1003,4,4,8,0.5,7.98
55920,126102,8512,43,68,111,0.387,13.04
55921,76679,4808,3,11,14,0.214,2.91
55922,60000,773,0,3,3,0,3.88
55923,93446,4705,4,10,14,0.286,2.98
55924,78194,1217,1,3,4,0.25,3.29
55925,91389,1040,0,6,6,0,5.77
55926,97500,739,1,5,6,0.167,8.12
55927,91536,4154,1,8,9,0.111,2.17
55929,115865,1247,0,5,5,0,4.01
55932,102727,1934,6,10,16,0.375,8.27
55933,61250,247,0,1,1,0,4.05
55934,87645,3332,2,14,16,0.125,4.8
55935,78864,872,0,2,2,0,2.29
55936,79196,1900,0,7,7,0,3.68
55939,66087,2155,0,2,2,0,0.93
55940,83906,2720,6,13,19,0.316,6.99
55941,71607,1021,0,7,7,0,6.86
55943,69896,3037,2,5,7,0.286,2.3
55944,90673,7937,24,26,50,0.48,6.3
55945,77143,1415,4,2,6,0.667,4.24
55946,80461,3288,3,11,14,0.214,4.26
55947,85464,7461,24,44,68,0.353,9.11
55949,80357,1864,4,9,13,0.308,6.97
55951,57692,1535,1,2,3,0.333,1.95
55952,96964,2354,1,8,9,0.111,3.82
55953,66705,888,0,1,1,0,1.13
55954,69615,1480,1,1,2,0.5,1.35
55955,129079,2718,4,17,21,0.19,7.73
55956,94762,1962,3,5,8,0.375,4.08
55957,80000,683,0,2,2,0,2.93
55959,68224,2230,3,3,6,0.5,2.69
55960,122120,3805,20,38,58,0.345,15.24
55961,77083,378,0,1,1,0,2.65
55962,73500,751,0,5,5,0,6.66
55963,109464,5667,9,37,46,0.196,8.12
55964,72765,4520,1,6,7,0.143,1.55
55965,62917,2345,1,5,6,0.167,2.56
55967,107500,941,2,0,2,1,2.13
55968,54688,124,0,1,1,0,8.06
55969,87212,1185,2,1,3,0.667,2.53
55970,85694,933,1,0,1,1,1.07
55971,81146,3112,1,9,10,0.1,3.21
55972,97500,5265,2,16,18,0.111,3.42
55973,88750,282,0,1,1,0,3.55
55974,60700,2058,1,10,11,0.091,5.34
55975,83232,4368,1,12,13,0.077,2.98
55976,79044,8338,10,30,40,0.25,4.8
55979,83482,1067,2,0,2,1,1.87
55981,69195,3998,9,16,25,0.36,6.25
55983,85625,1535,1,9,10,0.1,6.51
55985,84853,1807,5,2,7,0.714,3.87
55987,62171,34010,35,148,183,0.191,5.38
55990,78958,931,0,5,5,0,5.37
55991,86875,1292,1,4,5,0.2,3.87
55992,103144,5161,11,30,41,0.268,7.94
56001,67224,50729,97,237,334,0.29,6.58
56002,,,0,1,1,0,NULL
56003,80587,15221,44,79,123,0.358,8.08
56007,66479,21434,16,47,63,0.254,2.94
56009,82632,1514,1,5,6,0.167,3.96
56010,83854,1046,0,5,5,0,4.78
56011,99628,9538,14,33,47,0.298,4.93
56013,64360,4298,9,12,21,0.429,4.89
56014,60250,755,0,1,1,0,1.32
56016,85938,1020,3,3,6,0.5,5.88
56017,94250,1712,8,4,12,0.667,7.01
56019,68750,867,0,2,2,0,2.31
56021,101250,1115,0,2,2,0,1.79
56024,96667,3580,0,15,15,0,4.19
56025,81000,523,1,1,2,0.5,3.82
56026,96815,1899,1,3,4,0.25,2.11
56027,48214,786,0,1,1,0,1.27
56028,103542,1271,3,6,9,0.333,7.08
